Account,Posting Account,Value Date,Cusip,Security Description,Symbol,Sedol,ISIN,Currency,Country,Bal Type,Type,Temp,Shares,Collateral Price,Collateral Value,Base Rate,Gross Rebate,Stock Loan Fee,Stock Loan Cost,Net Rebate Rate,Net Rebate ,Net Fee ,Net Borrow Cost,Closing Price,Base Collateral Price,Base Collateral Value,Base Gross Rebate,Base Stock Loan Cost,Base Net Rebate,Base Net Borrow Cost,Account Type,RIC,Total Base Stock Loan Cost,Total Base Net Rebate,Total Base Net Borrow Cost
038RAE1J4,038CAESR0,13-Aug-22,172908105,CINTAS CORP,CTAS,2197137,US1729081059,USD,USA,SD,S,C,914,434.24,396895.36,2.33,25.69,-0.275,-3.03,2.055,22.66,0,0,434.24,434.24,396895.36,25.69,-3.03,22.66,0,SHORT,CTAS.O,-38.15,285.04,0
038RAE1J4,038CAESR0,14-Aug-22,172908105,CINTAS CORP,CTAS,2197137,US1729081059,USD,USA,SD,S,C,914,434.24,396895.36,2.33,25.69,-0.275,-3.03,2.055,22.66,0,0,434.24,434.24,396895.36,25.69,-3.03,22.66,0,SHORT,CTAS.O,-41.18,307.7,0
038RAE1J4,038CAESR0,15-Aug-22,172908105,CINTAS CORP,CTAS,2197137,US1729081059,USD,USA,SD,S,C,914,439.03,401273.42,2.33,25.97,-0.275,-3.07,2.055,22.91,0,0,439.03,439.03,401273.42,25.97,-3.07,22.91,0,SHORT,CTAS.O,-44.25,330.61,0
038RAE1J4,038CAESR0,16-Aug-22,172908105,CINTAS CORP,CTAS,2197137,US1729081059,USD,USA,SD,S,C,914,437.81,400158.34,2.33,25.9,-0.275,-3.06,2.055,22.84,0,0,437.81,437.81,400158.34,25.9,-3.06,22.84,0,SHORT,CTAS.O,-47.31,353.45,0
038RAE1J4,038CAESR0,17-Aug-22,172908105,CINTAS CORP,CTAS,2197137,US1729081059,USD,USA,SD,S,C,914,439.1,401337.4,2.33,25.98,-0.275,-3.07,2.055,22.91,0,0,439.1,439.1,401337.4,25.98,-3.07,22.91,0,SHORT,CTAS.O,-50.38,376.36,0
038RAE1J4,038CAESR0,18-Aug-22,172908105,CINTAS CORP,CTAS,2197137,US1729081059,USD,USA,SD,S,C,804,440.44,354113.76,2.33,22.92,-0.275,-2.71,2.055,20.21,0,0,440.44,440.44,354113.76,22.92,-2.71,20.21,0,SHORT,CTAS.O,-53.09,396.57,0
038RAE1J4,038CAESR0,19-Aug-22,172908105,CINTAS CORP,CTAS,2197137,US1729081059,USD,USA,SD,S,C,804,436.52,350962.08,2.33,22.72,-0.275,-2.68,2.055,20.03,0,0,436.52,436.52,350962.08,22.72,-2.68,20.03,0,SHORT,CTAS.O,-55.77,416.6,0
038RAE1J4,038CAESR0,20-Aug-22,172908105,CINTAS CORP,CTAS,2197137,US1729081059,USD,USA,SD,S,C,804,436.52,350962.08,2.33,22.72,-0.275,-2.68,2.055,20.03,0,0,436.52,436.52,350962.08,22.72,-2.68,20.03,0,SHORT,CTAS.O,-58.45,436.63,0
038RAE1J4,038CAESR0,21-Aug-22,172908105,CINTAS CORP,CTAS,2197137,US1729081059,USD,USA,SD,S,C,804,436.52,350962.08,2.33,22.72,-0.275,-2.68,2.055,20.03,0,0,436.52,436.52,350962.08,22.72,-2.68,20.03,0,SHORT,CTAS.O,-61.13,456.66,0
038RAE1J4,038CAESR0,22-Aug-22,172908105,CINTAS CORP,CTAS,2197137,US1729081059,USD,USA,SD,S,C,804,430.29,345953.16,2.33,22.39,-0.275,-2.64,2.055,19.75,0,0,430.29,430.29,345953.16,22.39,-2.64,19.75,0,SHORT,CTAS.O,-63.77,476.41,0
